1. accounts.google.com,60044,2a00:1450:4025:401::54
2. api.onedrive.com,37578,13.107.42.12
3. browser.events.data.microsoft.com,46674,13.89.179.8
4. browser.pipe.aria.microsoft.com,33496,52.182.143.210
5. clientservices.googleapis.com,34938,2a00:1450:400e:80f::2003
6. config.edge.skype.com,56804,2620:1ec:21::16
7. content.lifecycle.office.net,56796,2620:1ec:21::16
8. ecs.office.com,60872,2620:1ec:42::132
9. gpzgbw.sn.files.1drv.com,37582,13.107.42.12
10. login.live.com,45922,20.190.177.85
11. onedrive.live.com,36568,13.107.137.11
12. optimizationguide-pa.googleapis.com,44050,2a00:1450:400e:805::200a
13. res.cdn.office.net,43274,2606:2800:233:1cb7:261b:1f9c:2074:3c
14. res-1.cdn.office.net,33918,2a02:a000:1:213::51f3:1ab
15. safebrowsing.googleapis.com,56928,2a00:1450:400e:80f::200a
16. shellprod.msocdn.com,47788,2a02:a000:1:3a5::38f3
17. skyapi.onedrive.live.com,42666,20.143.1.17
18. sb-ssl.google.com,43056,2a00:1450:400e:801::200e
19. spo.nel.measure.office.net,51510,2a02:a000:1:213::51f3:158
20. southcentralus1-0.pushnp.svc.ms,52226,2603:1036:2407:1::d
21. storage.live.com,39772,20.135.21.16
22. translate.googleapis.com,42954,2a00:1450:400e:802::200a